"visitType","trapFunctioning","fishProcessed","rpmRevolutionsAtStart","rpmRevolutionsAtEnd","counterAtStart","counterAtEnd","visitTime","siteName","subSiteName","trapVisitID","includeCatch","projectDescriptionID","discharge","waterVel","waterTemp","turbidity"
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1995-12-01 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1995-12-01 09:30:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1995-12-04 09:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.1,NA,NA,NA,1995-12-04 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1995-12-06 09:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.2,NA,NA,NA,1995-12-06 09:00:00,"parrot-phelan",NA,NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.2,NA,NA,NA,1995-12-06 10:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1995-12-10 08:00:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.6,NA,NA,NA,1995-12-10 09:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-01-12 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-01-12 09:15:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.6,NA,NA,NA,1996-01-23 08:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",NA,NA,NA,NA,1996-01-23 09:45:00,"parrot-phelan","canal trap box",NA,"Yes",NA,NA,NA,NA,NA
"continue trapping","not recorded","not recorded",3.7,NA,NA,NA,1996-01-24 09:30:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
"end trapping","not recorded","not recorded",NA,NA,NA,NA,1996-01-25 08:00:00,"parrot-phelan","pp rst",NA,"Yes",NA,NA,NA,NA,NA
